avg_quiz_score,quizzes_taken,phishing_clicked,phishing_reported,incidents_reported,risk_label
51,14,2,4,0,0
74,10,4,3,3,1
23,2,5,4,1,2
1,20,0,3,1,1
21,11,0,0,2,1
91,15,5,5,2,0
61,18,3,3,3,1
6,20,0,1,3,1
88,13,1,1,0,0
43,7,2,5,0,0
35,17,3,1,1,2
53,17,1,3,1,0
73,3,5,5,2,1
84,15,4,1,2,1
52,12,0,4,2,0
7,10,2,0,3,1
34,2,0,2,0,1
27,6,0,3,1,0
32,15,5,4,2,1
34,0,2,4,2,1
77,2,0,4,1,0
26,8,1,1,3,0
76,18,0,3,0,0
22,6,4,2,0,2
35,12,2,2,1,1
61,20,5,3,3,2
43,19,5,5,2,1
88,6,5,0,0,2
26,19,4,0,2,2
8,4,0,2,1,1
43,14,2,5,3,0
61,16,1,3,3,0
38,1,2,0,0,2
53,4,0,0,2,1
1,20,3,1,3,2
54,10,2,0,2,2
37,4,3,1,1,2
15,0,0,3,2,0
69,15,4,2,3,1
89,2,2,3,3,0
70,19,0,0,3,0
0,10,3,0,0,2
49,9,2,3,3,0
59,16,1,0,3,1
11,4,4,2,2,2
47,15,2,3,3,0
53,0,3,2,0,2
92,17,5,1,1,2
53,2,4,0,3,2
20,15,3,2,0,2
32,15,3,2,2,1
29,5,5,4,2,2
53,7,2,2,1,1
63,0,4,3,0,1
47,18,3,2,3,1
91,13,4,5,2,0
36,16,5,4,2,1
86,0,2,1,0,1
94,2,5,1,3,1
26,9,1,1,0,2
32,8,2,5,3,0
25,2,1,0,3,2
12,6,0,3,0,0
86,14,3,1,1,1
31,18,0,1,2,0
41,5,5,2,3,2
100,0,4,3,3,0
5,12,3,5,2,1
98,7,3,4,1,0
16,18,3,1,2,2
89,4,1,4,1,0
0,0,1,5,1,1
47,7,4,4,0,2
66,11,1,2,0,1
85,13,3,4,2,0
89,15,4,3,0,1
93,4,1,1,1,0
94,9,1,2,1,0
95,0,4,4,3,0
1,16,3,2,3,2
23,11,1,2,3,1
42,4,3,2,0,2
32,7,1,2,3,0
45,1,4,2,1,2
34,16,1,4,1,0
6,3,1,4,1,1
74,3,0,4,0,0
72,2,0,2,3,0
35,17,0,5,3,0
12,2,0,5,0,1
61,19,0,5,0,0
11,8,2,3,0,2
70,13,3,2,1,1
98,11,0,3,2,0
84,3,4,0,2,2
38,13,1,4,2,0
86,10,2,1,2,0
16,5,5,4,3,2
41,8,1,2,1,1
37,18,4,0,1,2
16,6,0,4,3,0
18,11,5,2,1,2
89,18,5,2,0,2
57,19,3,4,2,0
38,0,2,4,3,0
24,0,5,4,1,2
57,11,4,4,0,1
84,10,3,4,3,0
98,18,3,0,1,1
14,0,4,5,1,2
2,15,0,2,3,0
7,3,1,1,3,1
49,4,0,3,3,0
72,0,4,3,0,2
91,15,4,4,1,1
24,1,1,5,1,0
4,0,5,0,1,2
85,16,4,0,1,2
98,0,4,5,3,0
100,20,4,1,1,1
82,16,4,5,0,0
31,1,3,1,1,2
33,2,2,1,3,1
22,14,4,4,1,2
65,10,2,5,3,0
90,18,1,3,0,0
37,0,3,5,2,1
28,3,1,0,1,1
16,19,4,1,1,2
42,15,2,2,2,1
22,15,2,5,3,0
55,2,2,2,0,1
31,17,4,1,2,2
20,5,0,4,0,0
11,13,1,0,1,1
25,14,0,5,2,0
55,10,4,0,1,2
46,13,1,3,2,0
77,1,4,1,1,2
17,5,2,2,2,1
63,4,3,1,2,1
89,11,0,0,0,0
83,3,1,2,0,0
85,1,0,3,2,0
41,8,4,5,3,1
55,12,5,4,0,2
32,20,5,4,1,2
93,10,5,5,1,0
94,8,2,2,2,0
94,5,1,3,3,0
74,3,5,5,0,2
61,1,2,1,2,1
44,11,4,5,1,1
96,19,0,3,2,0
0,13,5,4,1,2
2,0,5,1,3,2
9,4,1,3,1,1
64,4,0,0,0,0
74,14,5,2,1,2
74,8,1,3,2,0
34,0,5,3,3,2
100,13,3,5,2,0
84,4,4,2,2,1
88,12,1,0,1,0
39,7,5,2,0,2
14,0,0,0,0,2
65,13,4,2,2,1
63,19,4,0,3,2
